SkyRC MC5000 Charge Analyzer,Firmware V1.08,,,,,,
Program,Discharge Test,Cut-off Voltage,2.80V,Discharge Current,1.00A,,
Time(s),Slot,Mode,Voltage(V),Current(A),Capacity(mAh),IR(mOhm),Temp(C)
0,1,DSC,4.108,1.00,0.0,40.2,22.7
0,2,DSC,4.123,1.00,0.0,25.7,23.1
0,3,DSC,4.111,1.00,0.0,34.9,23.4
0,4,DSC,4.106,1.00,0.0,38.3,23.2
60,1,DSC,4.101,1.00,16.7,40.9,22.7
60,2,DSC,4.104,1.00,16.7,26.6,23.1
60,3,DSC,4.107,1.00,16.7,36.3,23.2
60,4,DSC,4.099,1.00,16.7,38.3,23.0
120,1,DSC,4.084,1.00,33.3,39.9,22.7
120,2,DSC,4.101,1.00,33.3,24.6,23.4
120,3,DSC,4.088,1.00,33.3,34.7,23.9
120,4,DSC,4.082,1.00,33.3,39.1,23.4
180,1,DSC,4.069,1.00,50.0,40.7,23.7
180,2,DSC,4.084,1.00,50.0,24.9,23.5
180,3,DSC,4.074,1.00,50.0,35.6,22.7
180,4,DSC,4.075,1.00,50.0,39.5,23.4
240,1,DSC,4.068,1.00,66.7,40.0,23.7
240,2,DSC,4.072,1.00,66.7,25.5,23.6
240,3,DSC,4.056,1.00,66.7,35.8,23.7
240,4,DSC,4.057,1.00,66.7,37.8,23.3
300,1,DSC,4.042,1.00,83.3,39.8,23.0
300,2,DSC,4.062,1.00,83.3,26.5,23.6
300,3,DSC,4.049,1.00,83.3,35.1,22.6
300,4,DSC,4.038,1.00,83.3,37.8,23.2
360,1,DSC,4.039,1.00,100.0,40.2,22.9
360,2,DSC,4.048,1.00,100.0,24.5,23.3
360,3,DSC,4.033,1.00,100.0,35.5,23.0
360,4,DSC,4.027,1.00,100.0,38.5,22.8
420,1,DSC,4.022,1.00,116.7,40.5,23.4
420,2,DSC,4.030,1.00,116.7,26.4,23.2
420,3,DSC,4.017,1.00,116.7,34.8,22.7
420,4,DSC,4.019,1.00,116.7,38.2,23.1
480,1,DSC,4.009,1.00,133.3,39.7,23.1
480,2,DSC,4.014,1.00,133.3,25.0,23.6
480,3,DSC,4.006,1.00,133.3,35.1,23.2
480,4,DSC,4.004,1.00,133.3,39.6,23.2
540,1,DSC,4.008,1.00,150.0,41.9,23.7
540,2,DSC,4.009,1.00,150.0,26.2,23.3
540,3,DSC,3.997,1.00,150.0,35.6,22.9
540,4,DSC,4.001,1.00,150.0,39.8,23.6
600,1,DSC,3.984,1.00,166.7,38.7,23.3
600,2,DSC,4.001,1.00,166.7,25.3,23.2
600,3,DSC,3.992,1.00,166.7,37.2,23.5
600,4,DSC,3.988,1.00,166.7,38.5,23.7
660,1,DSC,3.990,1.00,183.3,40.0,23.6
660,2,DSC,3.989,1.00,183.3,25.3,23.2
660,3,DSC,3.974,1.00,183.3,34.5,23.3
660,4,DSC,3.978,1.00,183.3,39.0,23.4
720,1,DSC,3.969,1.00,200.0,39.0,22.9
720,2,DSC,3.981,1.00,200.0,25.5,23.4
720,3,DSC,3.971,1.00,200.0,36.5,23.2
720,4,DSC,3.983,1.00,200.0,38.9,23.6
780,1,DSC,3.963,1.00,216.7,40.0,22.9
780,2,DSC,3.976,1.00,216.7,26.9,23.1
780,3,DSC,3.952,1.00,216.7,36.4,23.8
780,4,DSC,3.960,1.00,216.7,39.8,22.8
840,1,DSC,3.966,1.00,233.3,38.7,22.7
840,2,DSC,3.966,1.00,233.3,25.2,23.1
840,3,DSC,3.942,1.00,233.3,35.7,23.3
840,4,DSC,3.945,1.00,233.3,38.7,23.5
900,1,DSC,3.949,1.00,250.0,40.7,23.2
900,2,DSC,3.957,1.00,250.0,26.3,23.4
900,3,DSC,3.946,1.00,250.0,35.0,23.2
900,4,DSC,3.950,1.00,250.0,38.5,23.6
960,1,DSC,3.940,1.00,266.7,39.5,23.7
960,2,DSC,3.950,1.00,266.7,25.0,23.1
960,3,DSC,3.934,1.00,266.7,35.8,23.2
960,4,DSC,3.939,1.00,266.7,38.9,23.8
1020,1,DSC,3.932,1.00,283.3,39.0,23.1
1020,2,DSC,3.938,1.00,283.3,24.5,23.8
1020,3,DSC,3.924,1.00,283.3,35.0,23.4
1020,4,DSC,3.931,1.00,283.3,39.5,23.5
